# 模型名稱|文件名|下載網址
Llama-3 Nemotron Super 49B|nvidia_Llama-3_3-Nemotron-Super-49B-v1-Q5_K_M.gguf|https://cas-bridge.xethub.hf.co/xet-bridge-us/67d9f6d70eab92bb6c9a3f74/c82c8d62a69457c17cacf56892ea9c61f4a6c9a08482aa9a90d456da37f09776?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=cas%2F20250625%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250625T081156Z&X-Amz-Expires=3600&X-Amz-Signature=3c4454c2c806881837f7b953f2759754560fd94628ad25c35b4563231800b253&X-Amz-SignedHeaders=host&X-Xet-Cas-Uid=public&response-content-disposition=attachment%3B+filename*%3DUTF-8%27%27nvidia_Llama-3_3-Nemotron-Super-49B-v1-Q5_K_M.gguf%3B+filename%3D%22nvidia_Llama-3_3-Nemotron-Super-49B-v1-Q5_K_M.gguf%22%3B&x-id=GetObject&Expires=1750842716&Policy=eyJTdGF0ZW1lbnQiOlt7IkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc1MDg0MjcxNn19LCJSZXNvdXJjZSI6Imh0dHBzOi8vY2FzLWJyaWRnZS54ZXRodWIuaGYuY28veGV0LWJyaWRnZS11cy82N2Q5ZjZkNzBlYWI5MmJiNmM5YTNmNzQvYzgyYzhkNjJhNjk0NTdjMTdjYWNmNTY4OTJlYTljNjFmNGE2YzlhMDg0ODJhYTlhOTBkNDU2ZGEzN2YwOTc3NioifV19&Signature=Zr0vERA2iy8sXoscU3-MF0hIcxstH67fS%7ErG3L-VmrU8cwWpGb0xqjbTCJcPzYDQPCSBigqlQTEV07vjSgcIn-OPL9OOmJZNLxDAjXRfcCiA-K7Yg-x6DXkbCj5CPE7d0Xt4wi9ulkI11WMxclp81F4lNYq02DUQ90b8rMQjZp4OUcMai5YIrauei3Q99MkVcq3RDUXRmfQ72nbNSZ9CzvLzp9Q2BFdq7aS0MUx0bi9nyoUMjb16K9fU2W3NT3Gt0aoCrolfg6%7EexrwG3JUphsiWETirsdqa5EOu5aNoNyr4K%7EF1edhNBIVEuSPgS4a%7EyhU6%7Epa5zvriRTBu6en7-g__&Key-Pair-Id=K2L8F4GPSG1IFC
Mistral-Small|Mistral-Small-3.2-24B-Instruct-2506-Q8_0.gguf|https://cas-bridge.xethub.hf.co/xet-bridge-us/6855e0497c5e969dcf8ae34e/62db5897108f069a7d64276025d8f39f1930c2ef7df745fdebd081ffb38b6845?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=cas%2F20250625%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250625T083630Z&X-Amz-Expires=3600&X-Amz-Signature=8082f91f3b4162556d83866e9b8b8d63db47b3dc520f38d4b9d918a390dc0bf8&X-Amz-SignedHeaders=host&X-Xet-Cas-Uid=public&response-content-disposition=attachment%3B+filename*%3DUTF-8%27%27Mistral-Small-3.2-24B-Instruct-2506-Q8_0.gguf%3B+filename%3D%22Mistral-Small-3.2-24B-Instruct-2506-Q8_0.gguf%22%3B&x-id=GetObject&Expires=1750844190&Policy=eyJTdGF0ZW1lbnQiOlt7IkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc1MDg0NDE5MH19LCJSZXNvdXJjZSI6Imh0dHBzOi8vY2FzLWJyaWRnZS54ZXRodWIuaGYuY28veGV0LWJyaWRnZS11cy82ODU1ZTA0OTdjNWU5NjlkY2Y4YWUzNGUvNjJkYjU4OTcxMDhmMDY5YTdkNjQyNzYwMjVkOGYzOWYxOTMwYzJlZjdkZjc0NWZkZWJkMDgxZmZiMzhiNjg0NSoifV19&Signature=OjUDqcbsLRwiOORsk2rz5Cvt4F39JIjBIfj5q-yEj-EsCmLZ4qHhf-YkIZiypCF62wk3ZU71727pplSuwHcE10WgnRACQOAmn962GBv24bT%7EwepG%7Ev0oW%7EKcUsCTgxT-g-IIolf47CrfRvOLgWuAYukpPt74zeyUq5TyU42DvkyvP9d3NC7Pe6PB9s9Q40-AXZXC8HS%7Ew7UMISLxjXVUt9iZTxbKlG7Dh3qefpvGJQ9KI9-WUtFfzo7dlU6vQwwNBxVB4eFr-fGQdH7e6lNQC4ycDRn3TVcyhBvLlhmtRhtepnP6BzF6eDvBls8wfgoxMDdEMqaBm7uXnmCjgL2Reg__&Key-Pair-Id=K2L8F4GPSG1IFC
StarCode2-15B|starcoder2-15b-Q8_0.gguf|https://cdn-lfs-us-1.hf.co/repos/a4/42/a4424dd88531470a9c7303610d2729a07dc60f3f7f0f378d74ba54db175150b8/6cfe972755f7924cf8c176cb8607027f105196b8abb7614a2f680e84171cb418?response-content-disposition=attachment%3B+filename*%3DUTF-8%27%27starcoder2-15b-Q8_0.gguf%3B+filename%3D%22starcoder2-15b-Q8_0.gguf%22%3B&Expires=1750858578&Policy=eyJTdGF0ZW1lbnQiOlt7IkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc1MDg1ODU3OH19LCJSZXNvdXJjZSI6Imh0dHBzOi8vY2RuLWxmcy11cy0xLmhmLmNvL3JlcG9zL2E0LzQyL2E0NDI0ZGQ4ODUzMTQ3MGE5YzczMDM2MTBkMjcyOWEwN2RjNjBmM2Y3ZjBmMzc4ZDc0YmE1NGRiMTc1MTUwYjgvNmNmZTk3Mjc1NWY3OTI0Y2Y4YzE3NmNiODYwNzAyN2YxMDUxOTZiOGFiYjc2MTRhMmY2ODBlODQxNzFjYjQxOD9yZXNwb25zZS1jb250ZW50LWRpc3Bvc2l0aW9uPSoifV19&Signature=C1KzupvIUrOMv3GIT8KQ30%7EhbO31nNMo3tShaqdNm3c9G2dfY9PkFMdmlnWroVOFlIo%7Efry5OPsADyXkZ%7Et81V0b9RFrldvszIcv-4vGgKH-4ktO7q1g4YzVvSf6C356lsg129%7EC89ERwdb%7EasQnktCwqHLwakUPWMnZMIaKgGVH%7Et0pUc2Sifnl72Lh07cRvA5QX2Eemy272oK9ngCnjst1oayNgJYkjLQ8Zr9aV7M5-NbYIapUZ8Cvb4ygAPq3c0KUv4HRIkTx-Rg7BhPR7GKONoMXiCG5O9DCOHlEOorKcej%7EcjAUCEQ0m2ZoFmXXCl0GlkM-FW8Zb1KJKapdxg__&Key-Pair-Id=K24J24Z295AEI9
Phi-4-reasoning|Phi-4-reasoning-plus-Q8_0.gguf|https://cas-bridge.xethub.hf.co/xet-bridge-us/6812d6c6ebb4865489a16dc3/244cb5617c8f34c9d2db1f9f639ea43927d06df242894ab1cae40bf048bb6221?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=cas%2F20250625%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250625T113335Z&X-Amz-Expires=3600&X-Amz-Signature=f904cf27047e156eb0e9c1227c018ac13fc8e95310f202d2b72c92850f9a0819&X-Amz-SignedHeaders=host&X-Xet-Cas-Uid=public&response-content-disposition=attachment%3B+filename*%3DUTF-8%27%27Phi-4-reasoning-plus-UD-Q8_K_XL.gguf%3B+filename%3D%22Phi-4-reasoning-plus-UD-Q8_K_XL.gguf%22%3B&x-id=GetObject&Expires=1750854815&Policy=eyJTdGF0ZW1lbnQiOlt7IkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc1MDg1NDgxNX19LCJSZXNvdXJjZSI6Imh0dHBzOi8vY2FzLWJyaWRnZS54ZXRodWIuaGYuY28veGV0LWJyaWRnZS11cy82ODEyZDZjNmViYjQ4NjU0ODlhMTZkYzMvMjQ0Y2I1NjE3YzhmMzRjOWQyZGIxZjlmNjM5ZWE0MzkyN2QwNmRmMjQyODk0YWIxY2FlNDBiZjA0OGJiNjIyMSoifV19&Signature=bbVcdCpZyMyky0a1H9NrRia9K8%7ESe3jZss-FPO2bnz6DMrQmDNMB6ubJ5FuVtOnKj-827%7EYvMmkhw2QhWz8K6yFnNflTe8cIwBjYVC0nf2aNdu0ohTjd6RZXaP1YRznDd-Z4iTP%7EmJOuFMGwLP4%7EBVYn6I3BMDCIQCPU5n0ZmdWTjAE%7Edxt8pCcKQ%7E14VtozwrVMU%7ELAQuChvq9bL05Nf5BJyj4V8qSNamXtZnAA1LSBsiWMiIWNLM11IkcUki3b3G3KHFeSxwGVCp05IrqE06O0Z1k0G6PULOd-dQ4CzH2jnnAyBhLOVqpol8srwAq9TV2msssX3YKf8Pw1NVz7bg__&Key-Pair-Id=K2L8F4GPSG1IFC
StarCode2-7B|starcoder2-7b-Q8_0.gguf|https://cdn-lfs-us-1.hf.co/repos/41/b3/41b375f923c183d244945a6bc261cf3d70f502db7083f7db9b04b3539e54b79c/48b4842e14dc891e2abd7165ad36297cb45b702db0f98325f83fb0a94fd68dd8?response-content-disposition=attachment%3B+filename*%3DUTF-8%27%27starcoder2-7b-Q8_0.gguf%3B+filename%3D%22starcoder2-7b-Q8_0.gguf%22%3B&Expires=1750859487&Policy=eyJTdGF0ZW1lbnQiOlt7IkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc1MDg1OTQ4N319LCJSZXNvdXJjZSI6Imh0dHBzOi8vY2RuLWxmcy11cy0xLmhmLmNvL3JlcG9zLzQxL2IzLzQxYjM3NWY5MjNjMTgzZDI0NDk0NWE2YmMyNjFjZjNkNzBmNTAyZGI3MDgzZjdkYjliMDRiMzUzOWU1NGI3OWMvNDhiNDg0MmUxNGRjODkxZTJhYmQ3MTY1YWQzNjI5N2NiNDViNzAyZGIwZjk4MzI1ZjgzZmIwYTk0ZmQ2OGRkOD9yZXNwb25zZS1jb250ZW50LWRpc3Bvc2l0aW9uPSoifV19&Signature=YErJp4RU%7EH4k%7EAz9dmfvzLD5D46h7U4o%7EqmjEaZ0KVWskCNkhc8WoEyozFHpRbfIzAGnWaq1hldk1qyWnNK1d46TYYo5lrvd8aZZa%7Ez%7EvrmnYBY-BlFWg5i9tIdbUccj33bjvDgQVMvtCrS28qIb2rOJnogjHsI3RnjkG3WkTrPBNp1wMbNe93BVIlhwrjcJUZ-a34Ce%7ElL-d%7EYp2P56zVqymI5n5wlisVr%7E9Sj83G9KZok6K7w5wrDXih2ssg0YMycyQSWXiOqJ0%7EJFnQAIhYoz9lyl7eNfcwBnE5To%7EWa6wlABqv8ig5ojU-xskNAKFDdbmr0NVszUNmqALn8D2A__&Key-Pair-Id=K24J24Z295AEI9
StarCode2-3B|starcoder2-3b-q8_0.gguf|https://cdn-lfs-us-1.hf.co/repos/64/28/642880bdfa64ff456f2df353bb494a8a1cb126490a8e99e02a461eecd81979e1/b4cbf961fa378b1a9f86d5930d3fcb0c31bacfd3ad64fcd27aca680b10059ff8?response-content-disposition=attachment%3B+filename*%3DUTF-8%27%27starcoder2-3b-Q8_0.gguf%3B+filename%3D%22starcoder2-3b-Q8_0.gguf%22%3B&Expires=1750859635&Policy=eyJTdGF0ZW1lbnQiOlt7IkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc1MDg1OTYzNX19LCJSZXNvdXJjZSI6Imh0dHBzOi8vY2RuLWxmcy11cy0xLmhmLmNvL3JlcG9zLzY0LzI4LzY0Mjg4MGJkZmE2NGZmNDU2ZjJkZjM1M2JiNDk0YThhMWNiMTI2NDkwYThlOTllMDJhNDYxZWVjZDgxOTc5ZTEvYjRjYmY5NjFmYTM3OGIxYTlmODZkNTkzMGQzZmNiMGMzMWJhY2ZkM2FkNjRmY2QyN2FjYTY4MGIxMDA1OWZmOD9yZXNwb25zZS1jb250ZW50LWRpc3Bvc2l0aW9uPSoifV19&Signature=XI9CvFvRMamy8J08FCdop8YkmzjFK05em7zoUx4Pni0FSjn8SUcGeJJ9C4LHXHq%7EzmJCuHWl1sjxLltmx1rnW16UG188BIUhEsrrl-gZCiioDLUmxd3myzX-rgEau7Sx9bwIkYQ6-6-ePw8S%7EgWW26D9bPGqx7LgVcrq2JlDy-Iy8A%7Eq0H66LO-Pxiox-x9cCAXR8eNHQqosXJT5zjY8SAn8q-3e94WHtpweK6Wd1KnjFNLb4TIn8FeuhXMADL%7EcNy4JISfcwbD23cM%7EratVu-2CWpXjkK9wJsDYRcwvr4TpzkM8972CZP1mjX5qprNkMOZ9Kl1gidAj46DfB9pCdQ__&Key-Pair-Id=K24J24Z295AEI9
Devstral|Devstral-Small-2505-UD-Q8_K_XL.gguf|https://cas-bridge.xethub.hf.co/xet-bridge-us/682de1152a5d2b3a3eec8453/a44e442dbb81a07d5addaa94bf56cc0ecef32e47b881531b329ab8204f564085?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=cas%2F20250625%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250625T131337Z&X-Amz-Expires=3600&X-Amz-Signature=d76554ee8036ca41303a36e9c2c3de641cb4adee3aff3a79ae696b5f6e23e7a3&X-Amz-SignedHeaders=host&X-Xet-Cas-Uid=public&response-content-disposition=attachment%3B+filename*%3DUTF-8%27%27Devstral-Small-2505-UD-Q8_K_XL.gguf%3B+filename%3D%22Devstral-Small-2505-UD-Q8_K_XL.gguf%22%3B&x-id=GetObject&Expires=1750860817&Policy=eyJTdGF0ZW1lbnQiOlt7IkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc1MDg2MDgxN319LCJSZXNvdXJjZSI6Imh0dHBzOi8vY2FzLWJyaWRnZS54ZXRodWIuaGYuY28veGV0LWJyaWRnZS11cy82ODJkZTExNTJhNWQyYjNhM2VlYzg0NTMvYTQ0ZTQ0MmRiYjgxYTA3ZDVhZGRhYTk0YmY1NmNjMGVjZWYzMmU0N2I4ODE1MzFiMzI5YWI4MjA0ZjU2NDA4NSoifV19&Signature=SBlUAxreu3Gyfcduufzq3%7EsZ3skA-Un%7EnrXmTybnq-yp1hQ6--pWEYuGBaA6G65E3CmUeziWbGRNUmzmcU1XCpNs%7E%7ENpF8QZSLIneQMvzMDUR15wxWe3-ysFJlSFGhg9mhhIO59po8IsVBfA6luAAJrnS9KdWT8H4ptbeWDE8rorhEjz0GBWXieGsZ8DwCoNVrdOmjsLH1GqYpQMur74iw7tOQJ17K1AiZLeetnyvK1tNcVkehIEoSnt%7E5bcafPa3pskUi43GmR61wWp4e%7EwFN6XjFHZc79rLBVbcIqkIoEirvbkSUL-mLDrPk858feiBlByQjNs1x8wLYDlmXSaYg__&Key-Pair-Id=K2L8F4GPSG1IFC
gemma-3-27B|gemma-3-27b-it-UD-Q8_K_XL.gguf|https://cas-bridge.xethub.hf.co/xet-bridge-us/67d15ebf10a3c2d2b5ec914f/9e8196dc0fbabe33c3a38c204fcb0f223876c7d03de70f6b2135c01daaf78b81?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=cas%2F20250627%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250627T105229Z&X-Amz-Expires=3600&X-Amz-Signature=1b25aba79e3dc88bde1191ce40163566669b57fbd20592d5467b2096e99ea9b0&X-Amz-SignedHeaders=host&X-Xet-Cas-Uid=public&response-content-disposition=attachment%3B+filename*%3DUTF-8%27%27gemma-3-27b-it-UD-Q8_K_XL.gguf%3B+filename%3D%22gemma-3-27b-it-UD-Q8_K_XL.gguf%22%3B&x-id=GetObject&Expires=1751025149&Policy=eyJTdGF0ZW1lbnQiOlt7IkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc1MTAyNTE0OX19LCJSZXNvdXJjZSI6Imh0dHBzOi8vY2FzLWJyaWRnZS54ZXRodWIuaGYuY28veGV0LWJyaWRnZS11cy82N2QxNWViZjEwYTNjMmQyYjVlYzkxNGYvOWU4MTk2ZGMwZmJhYmUzM2MzYTM4YzIwNGZjYjBmMjIzODc2YzdkMDNkZTcwZjZiMjEzNWMwMWRhYWY3OGI4MSoifV19&Signature=WIMIkY4gR16yr%7EOIIV0fxVAI5tEU4uKL2c8%7Ee0QZv5nIEFhynX0%7Ex6i%7EmMea035V-5IMbVzkDgJvRLkKtikrye6Ri0WOVEYj97wGmtTHr-8Nka9tiFkHEb0oNjTb2OPka3aPmYq57paGjAyi8CFv9qOVte%7E9mXL6S0eibHWnYrDGnBJ2eP5Gf19vAgPnKbKTAzp1tNTEcm6VeEzvXR-OZKkwV9EPjK1HtGXMGKzh67IwYIHuwHrrnKrOymBB179CxP5b%7EjZ9WIJdO973FDUy5Kq44ecbfDjDZbqiRKHnnQAeW67GDEXJ5rjdCZy4cT-4EWOYII8kxA-X52mi5YG8dQ__&Key-Pair-Id=K2L8F4GPSG1IFC
phi-4|phi-4-Q8_0.gguf|https://cas-bridge.xethub.hf.co/xet-bridge-us/677e9a172e44cb75e02f268a/476ca3361f09398f6448030bce47e9faff9aaf0f0e0e0cf985d59f59f1ca3edb?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=cas%2F20250627%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250627T100345Z&X-Amz-Expires=3600&X-Amz-Signature=77f6cc0fb0a5b1cf96109cdd37e3260e6e1ea3e039287b8374965074fce2f5d6&X-Amz-SignedHeaders=host&X-Xet-Cas-Uid=public&response-content-disposition=attachment%3B+filename*%3DUTF-8%27%27phi-4-Q8_0.gguf%3B+filename%3D%22phi-4-Q8_0.gguf%22%3B&x-id=GetObject&Expires=1751022225&Policy=eyJTdGF0ZW1lbnQiOlt7IkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc1MTAyMjIyNX19LCJSZXNvdXJjZSI6Imh0dHBzOi8vY2FzLWJyaWRnZS54ZXRodWIuaGYuY28veGV0LWJyaWRnZS11cy82NzdlOWExNzJlNDRjYjc1ZTAyZjI2OGEvNDc2Y2EzMzYxZjA5Mzk4ZjY0NDgwMzBiY2U0N2U5ZmFmZjlhYWYwZjBlMGUwY2Y5ODVkNTlmNTlmMWNhM2VkYioifV19&Signature=U-m1oNzp4EY%7E8sz34qx9OJpvKc45PPJa65oX2pMPiYq48VZAQ6UbIH0Ied8eSm5PyO9UMWExBtahe4GriiJFXA90-B9-7NQmd-ErNWuwFysidSM16NL8T%7EHVeENjFXhQ-l%7E3iOCJxhS9bjLYqy%7ED0hrPS8w%7EcuL%7EqO6srcCjXRnVv%7EGbz%7Ee%7EckmOb5YoG3lal6Xsywm-FXMnCRbyXD74dlQnaFKe9IUEB1TML%7E9AcLxxqmkXmC5dTHqo0JLd1AyD1blReZ%7Eyag9vB6cZ9lkZLa3Uw%7Eyzgz0lASe2BySJqyw6IqMSnwLVdJfAWNYAB0c2FRJI7GDAV-zack27iVBk7A__&Key-Pair-Id=K2L8F4GPSG1IFC
codestral-22b|codestral-22b-v0.1.Q8_0.gguf|https://cas-bridge.xethub.hf.co/xet-bridge-us/66576b42fb28d37fe521c6da/64059a78e90aaa137d454dd172646bc400d13f55f7055aaa5491fb96921dac1f?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=cas%2F20250627%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250627T093038Z&X-Amz-Expires=3600&X-Amz-Signature=c2e2c0a79f5bb082b5a28a94e5378b774dbf3dfcb46c3167554bdafcae0fbe27&X-Amz-SignedHeaders=host&X-Xet-Cas-Uid=public&response-content-disposition=attachment%3B+filename*%3DUTF-8%27%27Codestral-22B-v0.1-Q8_0.gguf%3B+filename%3D%22Codestral-22B-v0.1-Q8_0.gguf%22%3B&x-id=GetObject&Expires=1751020238&Policy=eyJTdGF0ZW1lbnQiOlt7IkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc1MTAyMDIzOH19LCJSZXNvdXJjZSI6Imh0dHBzOi8vY2FzLWJyaWRnZS54ZXRodWIuaGYuY28veGV0LWJyaWRnZS11cy82NjU3NmI0MmZiMjhkMzdmZTUyMWM2ZGEvNjQwNTlhNzhlOTBhYWExMzdkNDU0ZGQxNzI2NDZiYzQwMGQxM2Y1NWY3MDU1YWFhNTQ5MWZiOTY5MjFkYWMxZioifV19&Signature=l3aUiuzEjk0lan3nYtzuJ6Ft0joACxHn1WDqutwo6KFi67Mkpz0ivNCveC3ZRra06s7eGVc1WwKn3b62VEG-kGC-ZXzwxhAIYEfA574uxs8F3CRw1G8VHtUKyK5vT8mJa1mkvePj0Sw-nB%7EJalpHl2CQztv8o1yvo%7E8ZFXKJZaI8cVsgcdYHPWN8yAK7f%7EsfSBry0nkaIXgrEK%7E7JSeVTRKryAfeZ1VgB%7E9McD2mxB4BJ2aBZNoBQKHa6DoI8RTyIhGpsFwioREPJewOGroXa0aPvQ3Ab7AxMdijo9jBriWivapZUln5pFggVHVeJ9oezxy%7E3dGyqVm6wZVoZ7b2sg__&Key-Pair-Id=K2L8F4GPSG1IFC
